½ÃÁ¡,½Ã±º»êÁö,ÀÏÀÚ,Ç°Á¾,µµ¸Å°¡°Ý.¿ø.kg.,°Å·¡·®.Åæ.,°Å·¡±Ý¾×.¹é¸¸¿ø.,¸¶´Ã.¸éÀû..ha.,X10a´ç.»ý»ê·®..kg.,»ý»ê·®..Åæ.,X10a´ç.»ý»ê·®.Åæ,Æò±Õ,Æò±Õ±â¿Â..C.,ÀÏ°­¼ö·®.mm.,Æò±Õ.Ç³¼Ó.m.s.,ÇÕ°è.ÀÏÁ¶½Ã°£.hr.,Æò±Õ.Áö¸é¿Âµµ..C.,Æò±Õ.5cm.ÁöÁß¿Âµµ..C.
2018,°­¸ª,2018-11-22,±ñ¸¶´Ã,6501,0.09,0.58,265,754,1999,0.754,0.052313589,5.5,13.81521739,1.604972376,4.40441989,7.480110497,7.813259669
2018,°­¸ª,2018-02-21,Ç²¸¶´Ã,6600,0.006,0.04,265,754,1999,0.754,0.052313589,2.770165746,7.487272727,2.154696133,5.617679558,4.793370166,4.205524862
2018,°­¸ª,2018-11-21,±ñ¸¶´Ã,6676,0.08,0.53,265,754,1999,0.754,0.052313589,5.639226519,13.59574468,1.597237569,4.38839779,7.631491713,7.968508287
2018,°­¸ª,2018-11-20,±ñ¸¶´Ã,6709,0.05,0.3,265,754,1999,0.754,0.052313589,5.780662983,13.69565217,1.597790055,4.410497238,7.809944751,8.130939227
2018,°­¸ª,2018-11-19,±ñ¸¶´Ã,6718,0.09,0.62,265,754,1999,0.754,0.052313589,5.91160221,13.69565217,1.60441989,4.372375691,7.958563536,8.283977901
2018,°­¸ª,2018-04-25,±ñ¸¶´Ã,6760,0.02,0.1,265,754,1999,0.754,0.052313589,11.42154696,13.00847458,1.930939227,6.061325967,14.53535912,13.03922652
2018,°­¸ª,2018-02-19,±ñ¸¶´Ã,6400,0.004,0.03,265,754,1999,0.754,0.052313589,2.593370166,7.438181818,2.154143646,5.580110497,4.598895028,4.04198895
2018,°­¸ª,2018-11-16,±ñ¸¶´Ã,6418,0.01,0.07,265,754,1999,0.754,0.052313589,6.316574586,13.69565217,1.579558011,4.35359116,8.461878453,8.764640884
2018,°­¸ª,2018-11-15,±ñ¸¶´Ã,6457,0.06,0.39,265,754,1999,0.754,0.052313589,6.448066298,13.69565217,1.585635359,4.350276243,8.617679558,8.91878453
2018,°­¸ª,2018-07-09,±ñ¸¶´Ã,6490,0.1,0.67,265,754,1999,0.754,0.052313589,19.79005525,16.60724638,1.581767956,5.375690608,23.92320442,22.79889503
2018,°­¸ª,2018-11-13,±ñ¸¶´Ã,6248,0.06,0.4,265,754,1999,0.754,0.052313589,6.765745856,13.42553191,1.583977901,4.337016575,8.974585635,9.262430939
2018,°­¸ª,2018-11-12,±ñ¸¶´Ã,6202,0.08,0.51,265,754,1999,0.754,0.052313589,6.935911602,13.42553191,1.579558011,4.329281768,9.157458564,9.439226519
2018,°­¸ª,2018-09-27,±ñ¸¶´Ã,6062,0.2,1.22,265,754,1999,0.754,0.052313589,14.24143646,15.49322034,1.444751381,4.301657459,17.68176796,17.37237569
2018,°­¸ª,2018-11-09,±ñ¸¶´Ã,5675,0.02,0.11,265,754,1999,0.754,0.052313589,7.437569061,13.42553191,1.569060773,4.319337017,9.693922652,9.949723757
2018,°­¸ª,2018-11-08,±ñ¸¶´Ã,6238,0.05,0.31,265,754,1999,0.754,0.052313589,7.569060773,13.39787234,1.553038674,4.319889503,9.845303867,10.1160221
2018,°­¸ª,2018-02-13,±ñ¸¶´Ã,6922,0.02,0.16,265,754,1999,0.754,0.052313589,2.053038674,6.453846154,2.177348066,5.65359116,4.053038674,3.58121547
2018,°­¸ª,2018-11-07,±ñ¸¶´Ã,5860,0.02,0.12,265,754,1999,0.754,0.052313589,7.697237569,13.22291667,1.549171271,4.294475138,10,10.28287293
2018,°­¸ª,2018-11-06,±ñ¸¶´Ã,6139,0.03,0.2,265,754,1999,0.754,0.052313589,7.855801105,13.22291667,1.544751381,4.282320442,10.1718232,10.45635359
2018,°­¸ª,2018-11-05,±ñ¸¶´Ã,6151,0.08,0.47,265,754,1999,0.754,0.052313589,8.003867403,13.22291667,1.532596685,4.271270718,10.33259669,10.62486188
2018,°­¸ª,2018-11-02,±ñ¸¶´Ã,6402,0.07,0.44,265,754,1999,0.754,0.052313589,8.479558011,13.45208333,1.527071823,4.285082873,10.91878453,11.18895028
2018,°­¸ª,2018-06-29,±ñ¸¶´Ã,8631,0.03,0.22,265,754,1999,0.754,0.052313589,19.48176796,15.26944444,1.60441989,5.484530387,23.59668508,22.3878453
2018,°­¸ª,2018-11-01,±ñ¸¶´Ã,6193,0.06,0.38,265,754,1999,0.754,0.052313589,8.646961326,13.45208333,1.524309392,4.338121547,11.14475138,11.38839779
2018,°­¸ª,2018-10-31,±ñ¸¶´Ã,6013,0.03,0.19,265,754,1999,0.754,0.052313589,8.803867403,13.45208333,1.522099448,4.345303867,11.36022099,11.58729282
2018,°­¸ª,2018-09-14,±ñ¸¶´Ã,5742,0.02,0.14,265,754,1999,0.754,0.052313589,15.89060773,16.03650794,1.447513812,4.392265193,19.81270718,19.25690608
2018,°­¸ª,2018-10-30,±ñ¸¶´Ã,6230,0.05,0.29,265,754,1999,0.754,0.052313589,8.985635359,13.45208333,1.522651934,4.349171271,11.59447514,11.78839779
2018,°­¸ª,2018-06-26,±ñ¸¶´Ã,7096,0.05,0.33,265,754,1999,0.754,0.052313589,19.47292818,15.7,1.612707182,5.567403315,23.55966851,22.27127072
2018,°­¸ª,2018-10-29,±ñ¸¶´Ã,6079,0.1,0.58,265,754,1999,0.754,0.052313589,9.139226519,13.72765957,1.504972376,4.359668508,11.80662983,11.97624309
2018,°­¸ª,2018-02-09,Ç²¸¶´Ã,6417,0.01,0.08,265,754,1999,0.754,0.052313589,1.796132597,6.107692308,2.183425414,5.650276243,3.795027624,3.38121547
2018,°­¸ª,2018-10-26,±ñ¸¶´Ã,6305,0.04,0.27,265,754,1999,0.754,0.052313589,9.671823204,13.17142857,1.516574586,4.361878453,12.45856354,12.55359116
2018,°­¸ª,2018-10-25,±ñ¸¶´Ã,6003,0.04,0.21,265,754,1999,0.754,0.052313589,9.845856354,12.914,1.518232044,4.362430939,12.68066298,12.74972376
2018,°­¸ª,2018-02-08,Ç²¸¶´Ã,6487,0.02,0.15,265,754,1999,0.754,0.052313589,1.761878453,6.124528302,2.196132597,5.625966851,3.750276243,3.351933702
2018,°­¸ª,2018-10-24,±ñ¸¶´Ã,5800,0.01,0.08,265,754,1999,0.754,0.052313589,9.998342541,12.914,1.509944751,4.380110497,12.90110497,12.94254144
2018,°­¸ª,2018-10-23,±ñ¸¶´Ã,5880,0.05,0.3,265,754,1999,0.754,0.052313589,10.15690608,12.914,1.501104972,4.387845304,13.11767956,13.13646409
2018,°­¸ª,2018-10-22,±ñ¸¶´Ã,6213,0.04,0.25,265,754,1999,0.754,0.052313589,10.33093923,12.914,1.495027624,4.415469613,13.34143646,13.32762431
2018,°­¸ª,2018-10-19,±ñ¸¶´Ã,6137,0.04,0.26,265,754,1999,0.754,0.052313589,10.82541436,12.914,1.47679558,4.439226519,13.96132597,13.88674033
2018,°­¸ª,2018-10-18,±ñ¸¶´Ã,5857,0.04,0.26,265,754,1999,0.754,0.052313589,10.98232044,12.914,1.465745856,4.448618785,14.1718232,14.07016575
2018,°­¸ª,2018-02-06,±ñ¸¶´Ã,7360,0.03,0.22,265,754,1999,0.754,0.052313589,1.745856354,6.011111111,2.191712707,5.677900552,3.737016575,3.329834254
2018,°­¸ª,2018-10-17,±ñ¸¶´Ã,6204,0.03,0.16,265,754,1999,0.754,0.052313589,11.16187845,12.914,1.464088398,4.463535912,14.39171271,14.25635359
2018,°­¸ª,2018-10-16,±ñ¸¶´Ã,6033,0.04,0.24,265,754,1999,0.754,0.052313589,11.30994475,12.914,1.451381215,4.490055249,14.58121547,14.4281768
2018,°­¸ª,2018-10-15,±ñ¸¶´Ã,6189,0.13,0.82,265,754,1999,0.754,0.052313589,11.47016575,12.914,1.456906077,4.508839779,14.76740331,14.60055249
2018,°­¸ª,2018-10-12,±ñ¸¶´Ã,5712,0.02,0.1,265,754,1999,0.754,0.052313589,11.92983425,13.17142857,1.470718232,4.601104972,15.29779006,15.10773481
2018,°­¸ª,2018-02-05,Ç²¸¶´Ã,6352,0.03,0.21,265,754,1999,0.754,0.052313589,1.713259669,6.011111111,2.191712707,5.691712707,3.714364641,3.305524862
2018,°­¸ª,2018-10-11,±ñ¸¶´Ã,6419,0.03,0.21,265,754,1999,0.754,0.052313589,12.08342541,13.17142857,1.467403315,4.608287293,15.46574586,15.27071823
2018,°­¸ª,2018-10-10,±ñ¸¶´Ã,5902,0.08,0.48,265,754,1999,0.754,0.052313589,12.26353591,12.91,1.467403315,4.579005525,15.64640884,15.43370166
2018,°­¸ª,2018-10-08,±ñ¸¶´Ã,6374,0.11,0.73,265,754,1999,0.754,0.052313589,12.55359116,12.53846154,1.451933702,4.511049724,15.96353591,15.72596685
2018,°­¸ª,2018-10-05,±ñ¸¶´Ã,5876,0.03,0.15,265,754,1999,0.754,0.052313589,12.92375691,12.74528302,1.462430939,4.475138122,16.38950276,16.15966851
